Recto:Entry,Recto:Exit,Legarda:Entry,Legarda:Exit,Pureza:Entry,Pureza:Exit,V. Mapa:Entry,V. Mapa:Exit,J. Ruiz:Entry,J. Ruiz:Exit,Gilmore:Entry,Gilmore:Exit,Betty-Go Belmonte:Entry,Betty-Go Belmonte:Exit,Araneta Cubao:Entry,Araneta Cubao:Exit,Anonas:Entry,Anonas:Exit,Katipunan:Entry,Katipunan:Exit,Santolan:Entry,Santolan:Exit,Marikina-Pasig:Entry,Marikina-Pasig:Exit,Antipolo:Entry,Antipolo:Exit
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105.50,0.00,8.25,0.00,22.75,0.00,19.25,0.00,4.75,0.00,4.50,0.00,2.50,0.00,52.25,0.00,29.50,0.00,69.00,0.00,61.50,0.00,134.75,0.00,194.25,0.00
539.25,958.25,98.25,332.00,200.50,179.00,204.75,151.25,72.00,82.75,55.75,108.50,54.75,41.50,585.25,837.50,328.00,324.25,622.00,140.50,420.75,107.50,1414.75,135.50,2060.75,127.00
1304.25,2887.75,243.00,2021.75,556.75,562.75,634.50,336.75,256.75,240.50,183.25,444.00,181.00,221.00,1366.75,2620.75,695.25,1339.25,876.50,642.25,826.25,204.50,3113.50,305.50,4651.00,307.75
1780.00,3549.25,297.25,1880.00,729.75,702.25,805.00,600.00,285.25,477.00,217.00,807.75,222.25,410.00,1486.00,3207.25,809.00,1838.25,1033.25,735.25,831.25,216.25,2487.50,527.50,3286.75,428.00
1497.25,3153.25,248.00,1298.25,521.00,646.00,529.75,569.00,202.25,360.25,178.75,679.00,171.50,302.00,1151.50,2623.75,611.25,1043.00,855.25,579.50,564.00,170.25,1820.50,458.50,2464.50,379.50
1241.50,2209.00,278.50,961.00,360.25,515.50,349.75,477.25,139.75,140.75,154.00,452.50,115.50,154.50,959.25,1879.25,489.00,604.50,672.75,365.25,372.00,142.75,1337.00,412.75,1697.00,357.25
1290.50,2195.25,361.00,874.00,332.75,466.00,313.25,379.25,118.00,105.25,163.00,340.00,102.25,93.50,979.25,1513.50,472.25,561.75,581.50,335.50,303.25,134.00,1067.75,494.75,1270.00,424.75
1552.00,1849.50,623.75,842.25,364.25,423.75,339.75,396.00,110.50,84.00,171.00,226.50,104.00,77.75,1004.00,1596.75,523.75,523.50,589.50,343.00,300.25,173.75,1093.00,568.75,1330.25,483.50
1778.00,1778.75,766.25,1080.00,442.00,443.50,410.25,425.00,124.50,124.00,200.25,326.00,131.50,102.50,1094.25,1759.75,626.25,622.25,612.00,407.25,311.00,220.75,1083.25,755.50,1165.00,654.75
1778.25,1736.00,763.50,749.50,435.00,422.75,364.25,397.00,118.25,103.50,180.00,307.75,100.50,95.25,1105.00,1597.25,645.75,586.75,509.25,385.50,236.75,240.50,885.25,814.50,942.50,769.75
1947.50,1633.50,836.75,528.25,452.75,420.25,428.50,386.00,126.50,110.25,235.25,254.50,93.50,85.75,1150.50,1585.50,625.25,473.25,490.75,379.75,202.50,270.50,742.25,930.00,752.25,885.50
2354.50,1532.00,1160.00,429.00,572.00,406.75,471.25,417.75,161.50,114.75,301.50,245.00,110.75,102.25,1486.25,1714.75,676.25,561.75,583.25,424.25,212.00,329.50,621.75,1341.00,621.50,1074.75
3153.75,1703.50,1503.75,480.00,623.50,432.75,608.75,532.75,240.50,162.25,559.25,308.50,159.75,121.75,2050.50,1839.25,898.75,730.25,717.25,548.50,257.00,442.50,665.50,1853.50,643.25,1747.50
4010.50,2118.25,1699.75,525.00,842.25,649.50,887.25,797.50,377.50,222.00,1000.75,294.50,315.00,176.00,2757.25,2452.25,1327.50,916.25,926.25,629.50,304.25,678.25,752.25,2537.75,677.75,2690.00
3543.75,1843.50,1595.75,475.25,612.25,800.75,855.50,908.25,308.50,224.75,742.25,234.25,271.75,180.75,3032.75,2502.00,1054.25,871.00,727.00,683.50,264.00,818.25,687.50,2650.75,665.75,2927.25
2209.00,1488.50,1064.75,391.50,452.50,590.50,578.25,642.00,162.50,185.25,372.50,191.25,129.75,103.25,2560.50,1898.00,750.25,690.00,478.25,522.75,216.00,623.75,599.50,2246.25,615.50,2555.75
1406.75,896.75,617.00,317.50,349.75,323.75,422.50,400.00,68.75,116.25,162.75,104.75,67.75,61.50,1714.75,1322.75,329.25,484.25,266.00,353.25,124.75,394.25,348.75,1366.00,382.25,1569.50
342.75,277.50,196.75,106.75,93.75,104.50,155.50,122.75,14.50,33.00,35.50,30.00,17.50,28.50,333.25,438.75,42.25,177.50,25.75,163.75,4.75,176.00,10.75,685.50,0.00,774.75
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,1.25,0.00,10.00,0.00,43.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00